raw_substance,entity_id,confidence,channel,reason,decided_by,decided_at_utc,model_id,prompt_version
"--trans-3-5,6-dihydro-4H-pyrrolo 3,2,1-ij quinolin-1yl-41H-indo-3-ylpyrrolidine-2, 5-dione",ent_018491,0.6,mint,Same chemical name with minor formatting/spelling variations across all entries,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
"--trans-3-5,6-dihydro-4H-pyrrolo3,2,1-ij quinolin-1yl-41H-indo-3-ylpyrrolidine-2, 5-dione",ent_018491,0.6,mint,Same chemical name with minor formatting/spelling variations across all entries,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
-Aescin,ent_005761,0.95,exact,"Aescin is an alternative spelling of escin, the active substance from horse chestnut extract.",model,2026-08-18T09:19:10Z,claude-sonnet-5,substance-assign-v2
-Irradiated BCG vaccine,ent_001678,0.6,token_idf,BCG vaccine matches 'Bcg vaccine' entry; irradiation is a modification but substance is BCG vaccine.,model,2026-08-18T09:19:08Z,claude-sonnet-5,substance-assign-v2
-Ketoglutarate,ent_017735,0.85,token_idf,'-Ketoglutarate' is likely a truncated 'Alpha-Ketoglutarate' with the alpha symbol lost in encoding.,model,2026-08-21T06:06:43Z,claude-sonnet-5,substance-assign-v2
-LIKE VIRUS ANTIGEN,ent_019296,0.5,mint,truncated influenza strain designations with no subtype given,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
-RIX-Tetra,ent_020369,0.3,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
-lapachone,ent_008671,0.85,exact,"'-lapachone' appears to be a truncated or OCR-mangled form of 'beta-lapachone', matching the candidate 'Lapachone' as the parent substance.",model,2026-08-18T09:19:14Z,claude-sonnet-5,substance-assign-v2
-like virus antigen,ent_019296,0.5,exact,"The string '-like virus antigen' is a truncated fragment matching the generic 'like-strain antigen' entry best, though ambiguous.'",model,2026-08-21T06:06:47Z,claude-sonnet-5,substance-assign-v2
"0,1 mg and 1,5 mg Placebo tablets",ent_017273,1,placebo,placebo rule,registry,2026-08-18T07:01:59Z,rule,substance-registry-v1
"0,9 NaCl solution",ent_014448,0.95,token_idf,"0.9% NaCl solution is normal saline, i.e., sodium chloride solution.",model,2026-08-18T09:19:04Z,claude-sonnet-5,substance-assign-v2
"0,9 sodio cloruro",ent_014448,0.97,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
"0,9% NaCl",ent_014448,0.97,exact,"0.9% NaCl is normal saline, i.e., sodium chloride solution.",model,2026-08-18T09:19:03Z,claude-sonnet-5,substance-assign-v2
"0,9% Sodium Chloride–Braun, 9 mg",ent_014448,0.97,token_idf,Sodium Chloride-Braun 0.9% is a sodium chloride solution product.,model,2026-08-18T15:59:33Z,claude-sonnet-5,substance-assign-v2
"0,9% normal saline",ent_014448,0.95,token_idf,0.9% normal saline is sodium chloride solution,model,2026-08-18T09:19:10Z,claude-sonnet-5,substance-assign-v2
"0,9% sodium chloride",ent_014448,0.93,mint,All variants of sodium chloride solution at various concentrations,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
0.1 bupivacaine,ent_002507,0.9,token_idf,Bupivacaine 0.1% concentration matches parent INN Bupivacaine.,model,2026-08-18T09:19:03Z,claude-sonnet-5,substance-assign-v2
0.2 Ropivacaine,ent_013805,0.97,token_idf,"Direct match to Ropivacaine (INN base), ignoring concentration '0.2'.",model,2026-08-18T09:19:12Z,claude-sonnet-5,substance-assign-v2
0.3 Nickel II-sulfate in vaseline,ent_019919,0.8,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
0.34 % tropicamide,ent_016275,0.98,token_idf,Tropicamide at a given concentration directly matches the substance Tropicamide.,model,2026-08-18T09:19:05Z,claude-sonnet-5,substance-assign-v2
0.5 ml Suspension for injection Hepatitis B vaccine rDNA,ent_007416,0.75,token_idf,"Hepatitis B vaccine rDNA contains hepatitis B surface antigen produced by recombinant DNA technology, matching candidate 1.",model,2026-08-18T09:19:06Z,claude-sonnet-5,substance-assign-v2
"0.67% Peanut Challenge Meal (PCM) base, granules for oral suspension",ent_004277,0.75,token_idf,"Peanut Challenge Meal is peanut allergen material, matching defatted peanut powder used for oral food challenge.",model,2026-08-18T09:19:10Z,claude-sonnet-5,substance-assign-v2
0.9 % sodium chloride saline solution (NaCL),ent_014448,0.98,token_idf,Sodium chloride saline solution directly matches sodium chloride.,model,2026-08-18T09:19:10Z,claude-sonnet-5,substance-assign-v2
0.9 physiological saline,ent_014448,0.95,token_idf,"0.9% physiological saline is normal saline, i.e., sodium chloride solution.",model,2026-08-18T09:19:02Z,claude-sonnet-5,substance-assign-v2
0.9 sodium chloride,ent_014448,0.93,mint,All variants of sodium chloride solution at various concentrations,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
"0.9%
Sodium Chloride solution",ent_014448,0.93,mint,All variants of sodium chloride solution at various concentrations,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
0.9% NaCl solution for infusion,ent_014448,1,registry,exact registry match: '0.9% nacl',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
0.9% Normal Saline for injection,ent_014448,0.97,token_idf,0.9% Normal Saline is isotonic sodium chloride solution.,model,2026-08-18T09:19:09Z,claude-sonnet-5,substance-assign-v2
0.9% Saline,ent_014448,1,registry,exact registry match: '0.9% saline',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
0.9% Saline for IV administration,ent_014448,0.95,token_idf,"0.9% saline is normal saline solution, i.e., sodium chloride.",model,2026-08-18T09:19:10Z,claude-sonnet-5,substance-assign-v2
0.9% Sodium Chloride,ent_014448,0.93,mint,All variants of sodium chloride solution at various concentrations,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
0.9% Sodium Chloride (Normal Saline),ent_014448,0.99,token_idf,Direct match to sodium chloride solution.,model,2026-08-18T09:19:08Z,claude-sonnet-5,substance-assign-v2
0.9% Sodium Chloride Injection,ent_014448,0.95,mint,All 0.9% saline variants,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
"0.9% Sodium Chloride Injection, USP",ent_014448,0.93,mint,All variants of sodium chloride solution at various concentrations,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
0.9% Sodium Chloride Intravenous Infusion Solution,ent_014448,0.95,mint,All 0.9% saline variants,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
0.9% Sodium Chloride Solution,ent_014448,0.95,mint,All 0.9% saline variants,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
0.9% Sodium Chloride Solution for Injection,ent_014448,0.93,mint,All variants of sodium chloride solution at various concentrations,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
0.9% Sodium Chloride for Injection,ent_014448,0.93,mint,All variants of sodium chloride solution at various concentrations,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
0.9% Sodium Chloride for Injection (Fresenius Kab) sourced locally by sites,ent_014448,0.98,token_idf,Directly names sodium chloride solution.,model,2026-08-18T09:19:03Z,claude-sonnet-5,substance-assign-v2
0.9% Sodium Chloride injection; Solution for injection,ent_014448,0.93,mint,All variants of sodium chloride solution at various concentrations,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
0.9% Sodium Chloride solution containing 9 mg,ent_014448,0.95,token_idf,Direct match to sodium chloride solution.,model,2026-08-18T09:19:12Z,claude-sonnet-5,substance-assign-v2
0.9% Sodium Chloride solution for injection (saline),ent_014448,0.98,token_idf,Sodium chloride solution directly matches candidate 1.,model,2026-08-18T09:19:15Z,claude-sonnet-5,substance-assign-v2
0.9% Sodium chloride,ent_014448,0.93,mint,All variants of sodium chloride solution at various concentrations,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
0.9% Sodium chloride - inhalation solution,ent_014448,0.93,mint,All variants of sodium chloride solution at various concentrations,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
0.9% physiological saline (sodium chloride),ent_014448,0.98,token_idf,Physiological saline is sodium chloride solution,model,2026-08-18T09:19:10Z,claude-sonnet-5,substance-assign-v2
0.9% saline solution (w,ent_014448,0.95,token_idf,0.9% saline solution is sodium chloride solution,model,2026-08-18T09:19:07Z,claude-sonnet-5,substance-assign-v2
0.9% saline solution for infusion. The placebo (250 mL infusion container with 0.9% (w,ent_017273,1,placebo,placebo rule,registry,2026-08-18T07:01:59Z,rule,substance-registry-v1
0.9% sodium chloride,ent_014448,0.95,mint,All 0.9% saline variants,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
"0.9% sodium chloride (nacl, saline) is given as placebo. sodium chloride (0.9% nacl) is provided by the trial pharmacy of amsterdamUmc and is from baxter b.v. We have attached the most recent smPC from Baxter N.V. regarding the sodiumchloride 0.9%.",ent_017273,1,placebo,placebo rule,registry,2026-08-18T07:01:59Z,rule,substance-registry-v1
0.9% sodium chloride - inhalation solution,ent_014448,0.93,mint,All variants of sodium chloride solution at various concentrations,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
0.9% sodium chloride aqueous solution for IV infusion,ent_014448,0.93,mint,All variants of sodium chloride solution at various concentrations,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
0.9% sodium chloride for intra muscular injection from hospital stock,ent_014448,0.93,mint,All variants of sodium chloride solution at various concentrations,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
"0.9% sodium chloride injection, solution for injection",ent_014448,0.93,mint,All variants of sodium chloride solution at various concentrations,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
0.9% sodium chloride injection. Solution for injection.,ent_014448,0.95,mint,All 0.9% saline variants,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
0.9% sodium chloride solution,ent_014448,0.93,mint,All variants of sodium chloride solution at various concentrations,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
0.9% sodium chloride solution for injection,ent_014448,0.95,mint,All 0.9% saline variants,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
0.9% sodium chloride solution for injection (NaCl 0.9%).,ent_014448,0.98,token_idf,Direct match to sodium chloride,model,2026-08-18T09:19:07Z,claude-sonnet-5,substance-assign-v2
"001, a genetically modifies autologous cell-based product containing transduced T cells (0,4 -2x10^8 cells) for treatment of blood cancers. The product is also approved by US FDA and Health Canada. Thus, CryoStor® is not regarded as a novel excipient.

A further description of CryoStor® CS10 are approachable in the IMPD of C2C_ASC110.",ent_003936,0.7,token_idf,Text explicitly discusses CryoStor CS10 as the excipient product mentioned.,model,2026-08-18T15:59:33Z,claude-sonnet-5,substance-assign-v2
"00mL, concentrate for solution for infusion (Placebo to VHB937)",ent_017273,1,placebo,placebo rule,registry,2026-08-18T07:01:59Z,rule,substance-registry-v1
0lmetec,ent_011271,0.85,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
1  Clotrimazol,ent_003711,0.98,token_idf,Clotrimazol is the German spelling of Clotrimazole.,model,2026-08-18T09:19:08Z,claude-sonnet-5,substance-assign-v2
"1 4R,5R-4,5-dihydroxy-N2-4-pentyloxy1,1:4,1 -terphenyl-4-ylcarbonyl-L-ornithine echinocandin B",ent_000934,0.9,token_idf,"This IUPAC-like description matches anidulafungin, an echinocandin B derivative with terphenyl carbonyl ornithine structure.",model,2026-08-18T09:19:12Z,claude-sonnet-5,substance-assign-v2
1 EA - F10,ent_017274,0.3,mint,"Ambiguous code, insufficient information to identify the substance",model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
"1 Lidocaine Xylocaine with 1:200,000 epinephrine",ent_021227,0.9,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
1 Nickel II-sulfate vaseline,ent_019919,0.8,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
1 alpha 25-dihidroxy vitamin D3 INN - Calcitriol,ent_002650,0.99,token_idf,"Explicitly labeled as Calcitriol INN, matching 1,25-dihydroxyvitamin D3",model,2026-08-18T09:19:14Z,claude-sonnet-5,substance-assign-v2
1 lidocaine hydrochloride,ent_008979,0.9,token_idf,Lidocaine hydrochloride is a salt of lidocaine; canonical INN base is Lidocaine.,model,2026-08-18T09:19:05Z,claude-sonnet-5,substance-assign-v2
1 lidocaine hydrochloride  solution + 8.4 sodium bicarbonate ratio 10:1,ent_021228,0.85,mint,Combination of lidocaine hydrochloride and sodium bicarbonate in fixed ratio,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
1 mL Placebo to XXB750 150 mg,ent_017273,1,placebo,placebo rule,registry,2026-08-18T07:01:59Z,rule,substance-registry-v1
1 mL Solution for injection in pre-filled syringe. This placebo is an additional,ent_017273,1,placebo,placebo rule,registry,2026-08-18T07:01:59Z,rule,substance-registry-v1
"1 mL Solution for injection in pre-filled syringe , Placebo to VAY736 300 mg",ent_017273,1,placebo,placebo rule,registry,2026-08-18T07:01:59Z,rule,substance-registry-v1
1 mg GPD-1116   tablet,ent_018783,0.6,mint,Same code name compound at different strengths,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
"1 ml reconstituted solution contains 5 mg rabbit, anti-human thymocyte immunoglobulin.",ent_017823,0.92,mint,All variants of rabbit anti-human thymocyte immunoglobulin,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
"1 ml saline, sodiumchloride 9 mg",ent_014448,1,registry,exact registry match: 'saline',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
1% Magnesium Stearate blend.,ent_009446,0.85,token_idf,"Directly names magnesium stearate, an excipient listed as substance 4.",model,2026-08-18T09:19:09Z,claude-sonnet-5,substance-assign-v2
"1, 1 1,4-phenylenebis methylene-bis-1,4,8,11-tetraazacyclotetradecane",ent_012572,0.85,mint,"1,1'-[1,4-phenylenebis(methylene)]-bis-1,4,8,11-tetraazacyclotetradecane is the chemical name for plerixafor (AMD3100)",model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
"1,2,4-Thiadiazolidine-3,5-dione derivative",ent_017275,0.4,mint,Vague chemical class description without specific identifiable compound name,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
"1,2-dihexadecanoyl-sn-glycero-3-phospho-1-rac-glycerol",ent_018494,0.8,mint,DPPG lipid excipient used e.g. in surfactant/vaccine formulations,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
"1,6 glucopolysaccharide",ent_018844,0.5,mint,"Described as a 1,6-linked glucopolysaccharide, likely a beta-glucan compound; not identifiable to a specific INN.",model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
"1,6-glucan",ent_017276,0.6,mint,generic beta-glucan polysaccharide,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
"1,8-cineole",ent_005979,1,registry,"exact registry match: '1,8-cineole'",registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
1-(3-(fluoro-18F)benzyl)guanidine  ([18F]mFBG),ent_006410,0.85,token_idf,[18F]mFBG (meta-fluorobenzylguanidine) is also known as florbenguane F18.,model,2026-08-18T09:19:09Z,claude-sonnet-5,substance-assign-v2
1--D-5-DEOSSIRIBOFURANOSIL-5-FLUOROURACILE,ent_005002,0.8,mint,"1-beta-D-5-deoxyribofuranosyl-5-fluorouracil is doxifluridine, a 5-FU prodrug",model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
1-13C-caprylic acid,ent_000016,0.98,exact,Exact match to candidate 1,model,2026-08-18T09:19:16Z,claude-sonnet-5,substance-assign-v2
1-13CPyruvate,ent_013130,0.75,token_idf,"1-13C-Pyruvate is an isotopically labeled form of pyruvate, matching the parent substance.",model,2026-08-18T09:19:03Z,claude-sonnet-5,substance-assign-v2
"1-2-2,4-Dimethyl-phenylsulfanyl-phenyl-piperazine-hydrobromide",ent_016882,0.75,mint,"1-[2-(2,4-dimethylphenylsulfanyl)phenyl]piperazine hydrobromide is vortioxetine's chemical name as its salt precursor",model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
1-2-chloroethyl-1-nitroso-3-2-hydroxyethyl-urea,ent_014043,0.5,token_idf,"The described nitrosourea structure closely matches Sarcnu, a chloroethyl-hydroxyethyl-nitrosourea compound.",model,2026-08-18T09:19:13Z,claude-sonnet-5,substance-assign-v2
"1-3-3-4-chlorophenylpropoxypropylpiperidine, hydrochloride",ent_017277,0.6,mint,Specific chemical compound name with HCl salt form,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
1-3-O-desacyl-4 monophosphoryl lipid A,ent_017356,0.7,mint,"Vaccine adjuvant, specific deacylated form",model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
1-4-linked -D-mannopyranose17 - 1- 6-linked--D-  galactopyranose1012,ent_018820,0.55,mint,Sequence describes a mannose/galactose polysaccharide (galactomannan-type immunostimulant/vaccine adjuvant).,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
1-5- 18F-fluoro-5-desoxy--arabinofuranosyl-2-nitroimidazole,ent_017315,0.75,mint,same fluoronitroimidazole PET tracer (FAZA),model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
1-5-Deoxy-5-fluoro--D-arabinofuranosyl-2-nitroimidazole,ent_017315,0.75,mint,same fluoronitroimidazole PET tracer (FAZA),model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
1-5-Deoxy-5-fluoro-a-D-arabinofuranosil-2-nitroimidazolo,ent_017315,0.6,mint,"Chemical name matches 1-(5-deoxy-5-fluoro-alpha-D-arabinofuranosyl)-2-nitroimidazole, known as FAZA, a hypoxia imaging radiotracer.",model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
"1-6-3-cyclobutyl-2,3,4,5-tetrahydro-1H-3-benzazepin-7-yloxy-3-pyridinyl-2-pyrrolidinone",ent_019168,0.5,mint,"Chemical name describing a benzazepine-pyrrolidinone compound; no INN available, kept as descriptive chemical structure name.",model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine critical raw material,ent_017278,0.8,mint,"POPC, a phospholipid excipient used as raw material in formulations",model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
"1-beta-D-ribofuranosyl-1H-1,2,4-triazole-3-carboxamide",ent_013566,0.98,token_idf,This IUPAC name is the chemical structure of ribavirin.,model,2026-08-18T09:19:03Z,claude-sonnet-5,substance-assign-v2
1-hydroxy-2-3-pyridinyl ethylidene bisphosphonic acid monosodium salt,ent_013662,0.9,token_idf,1-hydroxy-2-(3-pyridinyl)ethylidene bisphosphonic acid monosodium salt is the chemical name for risedronate sodium.,model,2026-08-18T09:19:14Z,claude-sonnet-5,substance-assign-v2
1-propanol,ent_017279,0.8,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
1. Cladribine,ent_003522,1,token_idf,Exact match.,model,2026-08-18T09:19:13Z,claude-sonnet-5,substance-assign-v2
1.25-dihydroxycholecalciferol,ent_002650,0.97,token_idf,"1,25-dihydroxycholecalciferol is the chemical name for calcitriol.",model,2026-08-18T09:19:03Z,claude-sonnet-5,substance-assign-v2
1.5 ml PDS290,ent_020025,0.75,mint,All strings refer to the same development code PDS290 with varying volume/dose descriptors stripped.,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
"10 Nitroglycerine in Propylene Glycol, USP",ent_010974,0.9,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
"10 g Celulosa microcristalina 250 g Acofarma 
CL 0,1 g Riboflavina (vit. B2) (vit. B2) 250 g Acofarma 
200 cáps Cápsulas Nº4 blancas-verdes 1000 Ud Acofarma",ent_013571,0.9,token_idf,Riboflavina (vit. B2) matches Riboflavin; other components are excipients.,model,2026-08-18T09:19:02Z,claude-sonnet-5,substance-assign-v2
10 mL (nominal) solution containing 10 mM histidine,ent_007478,0.4,token_idf,"The string describes histidine buffer; matches Histidine substance directly, though likely an excipient rather than active ingredient.",model,2026-08-18T09:19:07Z,claude-sonnet-5,substance-assign-v2
10 mL (nominal) solution containing 20 mM histidine,ent_007478,0.7,token_idf,"Histidine is used as a buffer excipient, matching entry 1 directly.",model,2026-08-18T09:19:02Z,claude-sonnet-5,substance-assign-v2
10 mg NEXThaler DPI,ent_002466,0.6,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
10-1074,ent_017183,1,registry,exact registry match: '10-1074',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
10-1074-LS,ent_017183,1,registry,exact registry match: '10-1074-ls',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
10-nitro-9E-octadec-9-enoic acid,ent_003974,0.85,token_idf,CXA-10 is the known code name for 10-nitro-9E-octadec-9-enoic acid (10-nitro-oleic acid).,model,2026-08-18T09:19:10Z,claude-sonnet-5,substance-assign-v2
100 g 14C-Debio 0932 solution for IV administration,ent_003951,0.85,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
100 mL isotonic saline,ent_014448,1,registry,exact registry match: 'isotonic saline',registry,2026-08-18T07:01:59Z,chembl+epar,substance-registry-v1
100 mL of NaCl 0.9%.,ent_014448,0.97,token_idf,"NaCl 0.9% is saline solution, i.e., sodium chloride.",model,2026-08-18T09:19:07Z,claude-sonnet-5,substance-assign-v2
100 mg 14C-Debio 0932 capsules for oral administration,ent_003951,0.85,mint,,model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
100 mg TA-270,ent_020774,0.5,mint,"Development code, no known INN",model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
"1000 I.E. FVIII, Pulver und Lösungsmittel zur Herstellung einer intravenösen Injektionslösung.",ent_018680,0.75,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
1000 IE FVIII Pulver und Lösungsmittel zur Herstellung einer Injektions- oder Infusionslösung,ent_018680,0.75,mint,,model,2026-08-21T07:05:46Z,claude-opus-5,substance-mint-v3
"1000 IUFVIII, powder and solvent for solution for injection",ent_014346,0.6,ngram,"FVIII (Factor VIII) matches Simoctocog alfa, a recombinant Factor VIII product.",model,2026-08-18T09:19:07Z,claude-sonnet-5,substance-assign-v2
1000 mcg QbG10,ent_018260,0.8,mint,"CYT003-QbG10 is a code-named immunostimulatory compound (QbG10 virus-like particle), dosed at various mcg amounts across trials; all refer to the same substance.",model,2026-08-21T07:05:46Z,claude-sonnet-5,substance-mint-v3
